Zeit;Kanal A
(ms);(mV)

-21,20444359;-2,23363700
-21,19944359;-3,16437000
-21,19444359;-2,79220000
-21,18944359;-3,16437000
-21,18444359;-3,72293300
-21,17944359;-3,16437000
-21,17444359;-3,53654000
-21,16944359;-4,09510300
-21,16444359;-3,90871000
-21,15944359;-3,53654000
-21,15444359;-4,09510300
-21,14944359;-4,46727300
-21,14444359;-3,90871000
-21,13944359;-3,72293300
-21,13444359;-4,09510300
-21,12944359;-3,53654000
-21,12444359;-2,04724400
-21,11944359;-2,04724400
-21,11444359;-1,86146600
-21,10944359;-0,55794780
-21,10444359;0,93073320
-21,09944359;1,11651100
-21,09444360;1,86146600
-21,08944360;3,16437000
-21,08444360;3,35014700
-21,07944360;3,35014700
-21,07444360;3,90871000
-21,06944360;3,72293300
-21,06444360;3,72293300
-21,05944360;2,60580700
-21,05444360;1,67507400
-21,04944360;1,11651100
-21,04444360;-0,37217020
-21,03944360;-1,30290300
-21,03444360;-2,23363700
-21,02944360;-4,28149600
-21,02444360;-4,83944400
-21,01944360;-5,02583600
-21,01444360;-5,77017700
-21,00944360;-5,77017700
-21,00444360;-5,58439900
-20,99944360;-5,21222900
-20,99444360;-5,39800700
-20,98944360;-4,46727300
-20,98444360;-3,53654000
-20,97944360;-2,41941400
-20,97444360;-2,60580700
-20,96944360;-1,30290300
-20,96444360;-1,11651100
-20,95944360;-0,74434050
-20,95444360;-0,37217020
-20,94944360;-1,67507400
-20,94444360;-1,11651100
-20,93944360;-2,60580700
-20,93444360;-3,35014700
-20,92944360;-3,72293300
-20,92444360;-4,09510300
-20,91944360;-5,02583600
-20,91444360;-4,83944400
-20,90944360;-5,21222900
-20,90444360;-4,46727300
-20,89944360;-5,02583600
-20,89444360;-4,46727300
-20,88944360;-3,35014700
-20,88444360;-1,11651100
-20,87944360;-1,30290300
-20,87444360;0,00000000
-20,86944360;1,48868100
-20,86444360;2,97797700
-20,85944360;3,35014700
-20,85444360;4,46727300
-20,84944360;5,21222900
-20,84444360;5,77017700
-20,83944360;5,39800700
-20,83444360;5,77017700
-20,82944360;5,02583600
-20,82444360;4,83944400
-20,81944360;3,90871000
-20,81444360;3,72293300
-20,80944360;3,16437000
-20,80444360;2,60580700
-20,79944360;2,41941400
-20,79444360;1,48868100
-20,78944360;1,86146600
-20,78444360;2,41941400
-20,77944360;1,48868100
-20,77444360;2,97797700
-20,76944360;2,60580700
-20,76444360;3,35014700
-20,75944360;3,35014700
-20,75444360;4,65366600
-20,74944360;5,39800700
-20,74444360;5,21222900
-20,73944360;5,21222900
-20,73444360;5,77017700
-20,72944360;4,83944400
-20,72444360;5,21222900
-20,71944360;4,65366600
-20,71444360;5,21222900
-20,70944360;4,28149600
-20,70444360;4,09510300
-20,69944361;3,53654000
-20,69444361;3,72293300
-20,68944361;2,79220000
-20,68444361;2,79220000
-20,67944361;2,41941400
-20,67444361;2,41941400
-20,66944361;2,41941400
-20,66444361;2,23363700
-20,65944361;1,48868100
-20,65444361;2,41941400
-20,64944361;1,86146600
-20,64444361;1,30290300
-20,63944361;1,48868100
-20,63444361;1,11651100
-20,62944361;0,55794780
-20,62444361;0,37217020
-20,61944361;0,55794780
-20,61444361;0,37217020
-20,60944361;0,55794780
-20,60444361;0,18577760
-20,59944361;0,18577760
-20,59444361;0,93073320
-20,58944361;0,18577760
-20,58444361;0,00000000
-20,57944361;0,93073320
-20,57444361;0,37217020
-20,56944361;0,18577760
-20,56444361;0,18577760
-20,55944361;0,00000000
-20,55444361;0,18577760
-20,54944361;0,55794780
-20,54444361;0,18577760
-20,53944361;-0,18577760
-20,53444361;-0,74434050
-20,52944361;-0,37217020
-20,52444361;-0,74434050
-20,51944361;-0,55794780
-20,51444361;-1,11651100
-20,50944361;-1,30290300
-20,50444361;-0,93073320
-20,49944361;-0,55794780
-20,49444361;-0,37217020
-20,48944361;0,00000000
-20,48444361;-0,37217020
-20,47944361;-0,74434050
-20,47444361;0,18577760
-20,46944361;0,00000000
-20,46444361;0,18577760
-20,45944361;0,55794780
-20,45444361;0,00000000
-20,44944361;-0,37217020
-20,44444361;-0,74434050
-20,43944361;-0,37217020
-20,43444361;-1,48868100
-20,42944361;-2,23363700
-20,42444361;-3,16437000
-20,41944361;-3,90871000
-20,41444361;-5,39800700
-20,40944361;-6,32874000
-20,40444361;-6,70091000
-20,39944361;-6,88730300
-20,39444361;-7,25947300
-20,38944361;-7,25947300
-20,38444361;-6,88730300
-20,37944361;-6,51513300
-20,37444361;-5,95657000
-20,36944361;-4,46727300
-20,36444361;-3,16437000
-20,35944361;-2,41941400
-20,35444361;-1,30290300
-20,34944361;-0,18577760
-20,34444361;0,18577760
-20,33944361;0,55794780
-20,33444361;0,55794780
-20,32944361;0,00000000
-20,32444361;-0,55794780
-20,31944361;-1,67507400
-20,31444361;-1,48868100
-20,30944361;-2,04724400
-20,30444361;-2,60580700
-20,29944362;-2,60580700
-20,29444362;-2,79220000
-20,28944362;-2,97797700
-20,28444362;-2,23363700
-20,27944362;-1,30290300
-20,27444362;0,18577760
-20,26944362;0,93073320
-20,26444362;2,04724400
-20,25944362;2,97797700
-20,25444362;3,72293300
-20,24944362;4,83944400
-20,24444362;4,83944400
-20,23944362;5,21222900
-20,23444362;5,39800700
-20,22944362;4,65366600
-20,22444362;3,90871000
-20,21944362;3,16437000
-20,21444362;2,04724400
-20,20944362;0,55794780
-20,20444362;-0,74434050
-20,19944362;-1,67507400
-20,19444362;-2,79220000
-20,18944362;-3,90871000
-20,18444362;-5,39800700
-20,17944362;-5,39800700
-20,17444362;-5,95657000
-20,16944362;-5,58439900
-20,16444362;-5,39800700
-20,15944362;-4,65366600
-20,15444362;-5,02583600
-20,14944362;-4,09510300
-20,14444362;-3,35014700
-20,13944362;-2,04724400
-20,13444362;-2,60580700
-20,12944362;-1,67507400
-20,12444362;-1,48868100
-20,11944362;-1,30290300
-20,11444362;-0,74434050
-20,10944362;-0,74434050
-20,10444362;-0,74434050
-20,09944362;-0,37217020
-20,09444362;-0,74434050
-20,08944362;-0,74434050
-20,08444362;-2,41941400
-20,07944362;-2,04724400
-20,07444362;-2,23363700
-20,06944362;-2,60580700
-20,06444362;-3,16437000
-20,05944362;-3,35014700
-20,05444362;-3,53654000
-20,04944362;-4,09510300
-20,04444362;-3,53654000
-20,03944362;-4,46727300
-20,03444362;-4,09510300
-20,02944362;-4,46727300
-20,02444362;-4,65366600
-20,01944362;-4,83944400
-20,01444362;-4,28149600
-20,00944362;-3,16437000
-20,00444362;-3,53654000
-19,99944362;-2,41941400
-19,99444362;-2,04724400
-19,98944362;-1,11651100
-19,98444362;0,18577760
-19,97944362;1,11651100
-19,97444362;2,04724400
-19,96944362;2,97797700
-19,96444362;3,53654000
-19,95944362;3,72293300
-19,95444362;3,90871000
-19,94944362;3,72293300
-19,94444362;3,90871000
-19,93944362;2,97797700
-19,93444362;2,60580700
-19,92944362;1,67507400
-19,92444362;1,11651100
-19,91944362;-0,37217020
-19,91444362;-0,93073320
-19,90944362;-2,23363700
-19,90444363;-2,60580700
-19,89944363;-3,53654000
-19,89444363;-4,09510300
-19,88944363;-4,46727300
-19,88444363;-4,46727300
